Price,Close,High,Low,Open,Volume
Ticker,TTE.PA,TTE.PA,TTE.PA,TTE.PA,TTE.PA
Date,,,,,
2019-01-02,30.646520614624023,30.79760165410371,29.411596681716812,29.730179142009185,6652627
2019-01-03,30.38377571105957,30.659662206997556,30.157152870981175,30.23926230512192,5651974
2019-01-04,31.14246940612793,31.30997337128017,30.741774923809135,30.741774923809135,7098402
2019-01-07,31.07021141052246,31.44134768082073,30.656379133758737,31.44134768082073,4898882
2019-01-08,31.0045166015625,31.352659730501177,30.991378794046625,31.162165280191854,5474798
2019-01-09,31.41836166381836,31.520176581630835,31.080068619437725,31.306691506988443,6755539
2019-01-10,31.267271041870117,31.474188416450595,30.938833310313576,31.398646635648937,6105664
2019-01-11,30.73192596435547,31.57929612058579,30.656384165062,31.329682681881476,6319470
2019-01-14,30.906002044677734,31.063653319612893,30.387069625836087,30.54472090077125,4741251
2019-01-15,30.86330223083496,31.063649500747797,30.469175344840753,30.873154964473017,5998007
2019-01-16,30.906002044677734,31.129339889129707,30.607124895859624,31.06693589404133,5166477
2019-01-17,30.81730842590332,31.093194877104867,30.616961238624764,30.774609923374033,4668372
2019-01-18,31.3887939453125,31.546445159207636,31.096484564310778,31.165456187333326,7418150
2019-01-21,31.12604522705078,31.428209868842714,31.014377592091655,31.378943703980237,3571465
2019-01-22,30.879716873168945,31.057073563002078,30.68265471972588,31.004524824781836,4302035
2019-01-23,30.613679885864258,31.08663100923164,30.613679885864258,30.90927433796887,4556479
2019-01-24,30.879716873168945,30.938835769779992,30.373924931451523,30.68922487811668,4864460
2019-01-25,31.168745040893555,31.26399229539684,30.965112720322946,31.004526155015068,4456382
2019-01-28,30.66623878479004,31.06364822853319,30.590696987022582,31.04722533595456,4258836
2019-01-29,31.030811309814453,31.2344411871523,30.65638982968238,30.860022212802335,4703857
2019-01-30,30.88628387451172,31.05707038849707,30.75819336257746,30.88628387451172,5009969
2019-01-31,31.516883850097656,31.59570820262852,31.198298855318303,31.31982171588,8028583
2019-02-01,31.6679744720459,31.71395556706439,31.126051559863154,31.382235168114114,6748382
2019-02-04,31.58914566040039,31.96356452771281,31.28698350533798,31.68767799633793,5268831
2019-02-05,32.1212158203125,32.17704964141024,31.690960625465202,31.809198426484766,6851452
2019-02-06,32.04238510131836,32.186898508717654,31.792774223168244,32.10478907374643,4938521
2019-02-07,31.55958366394043,32.14091991174124,31.55630109045006,32.14091991174124,6484582
