Price,Close,High,Low,Open,Volume
Ticker,BNP.PA,BNP.PA,BNP.PA,BNP.PA,BNP.PA
Date,,,,,
2019-01-02,25.744094848632812,25.757268539146946,25.118358368646483,25.510267495412172,4275030
2019-01-03,25.59260368347168,26.060258435720087,25.424642253745215,25.54320296736098,4011198
2019-01-04,26.834197998046875,26.89347835678271,25.8033785662863,25.95158071943832,5325079
2019-01-07,26.794675827026367,27.084489506440327,26.52132737776248,27.084489506440327,4195675
2019-01-08,26.92970085144043,27.235982263184326,26.656354924123047,26.81114265547879,4372775
2019-01-09,26.857250213623047,27.245865324135597,26.74527509061531,27.114130919913165,3619123
2019-01-10,27.147064208984375,27.23598348811088,26.580608023067953,26.61024945785999,3393318
2019-01-11,27.249155044555664,27.338076829338576,26.90994067233662,27.091075780135434,4219405
2019-01-14,27.413822174072266,27.608130970999714,27.07131375395194,27.11083482602818,4549021
2019-01-15,27.463224411010742,27.917705458313648,27.166822635541575,27.74974654606839,4260039
2019-01-16,28.37548065185547,28.37548065185547,27.598250512450917,27.66411645133286,5752135
2019-01-17,27.28209114074707,27.907827706272208,27.275505550902018,27.50603888485212,6948081
2019-01-18,27.973695755004883,28.000040626621168,27.529091811966424,27.591666221382916,6133060
2019-01-21,27.861717224121094,27.993451616606503,27.723397242692457,27.953930545073515,2545457
2019-01-22,27.34466552734375,27.5817869635579,27.00545111655818,27.5817869635579,5480516
2019-01-23,27.38418197631836,27.72010227910117,27.170113909656777,27.170113909656777,3582775
2019-01-24,27.25574493408203,27.815613010616588,27.11413088941156,27.40723861934874,4585018
2019-01-25,28.316205978393555,28.454525985349502,27.581788300770278,27.822203799872295,6014996
2019-01-28,27.963815689086914,28.316203781925918,27.818907590587756,28.316203781925918,3724488
2019-01-29,27.91441535949707,28.07908274184701,27.69375915755326,27.868308693449073,3030043
2019-01-30,27.874893188476562,28.0132131811884,27.66411914835621,27.8979465205952,3403567
2019-01-31,26.982391357421875,28.151530516530606,26.886883995434534,27.865008430568583,6691369
2019-02-01,26.92970085144043,27.114130016255096,26.44887242778463,27.00874299891444,5016903
2019-02-04,26.419235229492188,27.06143701568596,26.165646053572186,26.929702607264844,4894321
2019-02-05,27.094369888305664,27.140479066811736,26.297380363644574,26.37312846480651,5241665
2019-02-06,27.575197219848633,27.65753089987459,26.136003588450063,26.16564250719964,6311587
2019-02-07,26.86712646484375,28.612598934562698,26.80784611605333,27.535675529598564,7174371
2019-02-08,26.24797821044922,26.909941752417676,26.086604888694367,26.702461767304296,5490179
2019-02-11,26.67940902709961,26.824314609742622,26.317141301554926,26.51144759964148,3427547
2019-02-12,27.002153396606445,27.2590340800617,26.71233974317928,27.02191518868923,3865468
2019-02-13,27.262331008911133,27.57520053823505,26.998864708697365,27.16023803743297,6511949
2019-02-14,26.620126724243164,27.479690567172796,26.577311601431802,27.466516876509655,4959220
2019-02-15,27.736568450927734,27.888062109309484,26.462042275078378,26.570723327599303,6601640
2019-02-18,27.944053649902344,28.07908210643361,27.68387889016206,27.756332938776417,3189041
2019-02-19,27.82219886779785,27.993451820438665,27.397356768066835,27.795851486584013,4127008
2019-02-20,28.036264419555664,28.112012512359893,27.54555637960517,27.94075704716101,3440229
2019-02-21,27.39735984802246,28.01980235158186,27.252451747680645,27.986869377674584,5788642
2019-02-22,27.61471939086914,27.86172046326086,27.285384627680184,27.295264268555876,3362525
2019-02-25,28.230575561523438,28.365601504321553,27.851840091272994,27.917706037131865,4052117
2019-02-26,28.424882888793945,28.52697837498027,27.848547047495607,28.1778818139518,3947542
2019-02-27,29.11319351196289,29.337141251002024,28.329375169013513,28.382069937081468,6044690
2019-02-28,29.676353454589844,29.946407839357697,28.7739769756277,29.067084691560197,6138130
2019-03-01,29.570972442626953,29.992520591009235,29.570972442626953,29.90360129921382,4772152
2019-03-04,29.60060691833496,29.95958310837714,29.498513948174924,29.837728344303226,3166569
2019-03-05,29.320669174194336,29.844312675818934,29.09013587953223,29.610485330483236,4567642
2019-03-06,29.435937881469727,29.6697652431688,28.90570875401666,29.261390872921446,4197575
2019-03-07,28.441349029541016,29.547913983490595,28.158120945338162,29.314086613997492,6908751
2019-03-08,27.8913631439209,28.32279089892264,27.64436206050006,28.197644587867735,6079628
2019-03-11,28.540151596069336,28.553322775400297,28.00004027638139,28.00004027638139,4426716
2019-03-12,28.3524227142334,28.915587254343862,28.24374417437154,28.810200252345712,4613595
2019-03-13,28.688350677490234,28.826670671408074,28.250334850792296,28.388654844710135,3391159
2019-03-14,28.876070022583008,29.15600404827165,28.65212229950716,28.68505527088971,4424543
2019-03-15,29.16918182373047,29.175767413879257,28.79374036962442,28.981461096677446,13182683
2019-03-18,29.705991744995117,29.95628684420666,28.981456341507275,29.366777373926958,4447520
2019-03-19,29.71257781982422,29.985926231064873,29.403002389617967,29.738925199549097,4209756
2019-03-20,29.10660171508789,29.794912588014174,29.10660171508789,29.771859258066854,4743619
2019-03-21,28.34913444519043,28.971576890110796,28.256921121887352,28.89253725765453,5930463
2019-03-22,27.4171142578125,28.622480487098564,27.245861316351473,28.622480487098564,7642535
2019-03-25,27.35125160217285,27.641065273491513,27.044970188539335,27.318316117543137,3648529
2019-03-26,27.285385131835938,27.525800618960997,27.061437388224537,27.440172875414756,3734534
2019-03-27,27.878189086914062,28.362311606111273,27.186586564900157,27.436879183738576,6223200
2019-03-28,27.65423583984375,27.894648769675484,27.443461827679865,27.749743206703076,4395584
2019-03-29,28.06590461730957,28.217398283631212,27.818903582793407,28.049436876625375,4389447
2019-04-01,28.638948440551758,28.87277580240924,28.174587767743137,28.41500071878866,4797946
2019-04-02,28.918882369995117,29.188936753064997,28.61260096494791,28.754215001961665,3550029
2019-04-03,29.320669174194336,29.54132282946014,29.139536589138242,29.208696577536877,3968292
2019-04-04,29.557790756225586,29.666471815517905,29.004508332929976,29.310789719265482,3574062
2019-04-05,29.3140869140625,29.72575535314979,29.235044764667922,29.610488692730296,4120347
2019-04-08,29.27785873413086,29.538033478873814,29.228458020866437,29.40300503012603,3121894
