Price,Close,High,Low,Open,Volume
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA
Date,,,,,
2019-01-02,227.78135681152344,230.25429501925026,224.63396344699422,228.4557982467797,561858
2019-01-03,219.10354614257812,223.77968463256838,219.10354614257812,223.01531214667276,785119
2019-01-04,225.84793090820312,226.56733778994973,219.50819292427013,221.62143434506615,886586
2019-01-07,225.4432830810547,227.96120046561524,224.18433124954734,227.19682803263487,550835
2019-01-08,232.50241088867188,236.05447975169514,224.90372124442345,226.16267298114792,742574
2019-01-09,235.20018005371094,239.38173857210538,235.02034548455757,235.38004206595437,646844
2019-01-10,233.0419921875,234.79555089951768,231.69310931459174,233.35673701313038,666326
2019-01-11,232.27761840820312,235.78473581216664,230.8388319731426,234.7056185427791,525969
2019-01-14,226.342529296875,228.9054120851251,224.0044740283835,228.9054120851251,678686
2019-01-15,225.53318786621094,229.04027736154626,224.54400174109367,228.36583601847838,600204
2019-01-16,223.86956787109375,227.241774699002,223.59978858055214,226.61229883543473,615045
2019-01-17,221.7113800048828,223.64477326341608,220.76715926777865,223.01529734586194,784017
2019-01-18,227.8712615966797,228.86044780271624,222.20596482870138,222.74550971436602,1129978
2019-01-21,231.33340454101562,231.8729631597587,227.78134917866973,228.41082508617288,483650
2019-01-22,231.19851684570312,232.41251685136547,229.4899237369359,230.2093306394934,560124
2019-01-23,231.42333984375,233.31178132283185,228.7255741430879,229.40001556825342,544760
2019-01-24,231.8729705810547,233.35673624776888,229.17520484408627,231.15354991867446,538318
2019-01-25,234.79556274414062,236.09946645454065,232.86216935072423,233.71644541413934,774671
2019-01-28,232.5923614501953,233.44666490217352,230.83883020473908,233.35673388989812,546032
2019-01-29,233.58151245117188,235.604836428131,229.98449204768895,230.88374714855968,681987
2019-01-30,249.63333129882812,251.29695945585186,242.843935834888,243.6982395337407,1701345
2019-01-31,251.56666564941406,251.79147947036975,247.3401548382098,251.79147947036975,1018807
2019-02-01,255.97296142578125,256.87221653526444,252.82556854258996,254.03956842900993,1008099
2019-02-04,254.12954711914062,255.9280576756199,252.06124351333352,255.9280576756199,611878
2019-02-05,261.81817626953125,262.80736259254456,253.23029909361642,254.21948541662974,936779
2019-02-06,259.0754699707031,261.50344293248094,257.5017731194583,258.98553894772726,663981
2019-02-07,254.84893798828125,261.41351792407835,254.17449653589003,258.1312142346333,771808
2019-02-08,254.98377990722656,257.5466625040111,253.1403178768332,253.76980744203942,675564
2019-02-11,259.25531005859375,260.60419310248466,256.422661155042,257.54673035828444,577207
2019-02-12,265.1004333496094,266.1345988284245,256.4676050139279,256.4676050139279,956591
2019-02-13,264.9655456542969,268.7873803475173,264.8306628596251,266.2244974763865,615149
2019-02-14,261.54840087890625,269.5068155103959,261.36853884759284,268.7873948282354,757985
2019-02-15,264.56085205078125,267.4384518032682,259.7498319471283,260.3792940290379,652357
2019-02-18,265.3702392578125,266.62919116423575,264.06630812142464,265.1454254372693,315942
2019-02-19,267.3036193847656,267.3485711694102,263.1220880184163,265.77487450356216,549831
2019-02-20,266.7191162109375,268.96725436604805,264.11128143962776,267.1687438419596,445663
2019-02-21,267.03387451171875,268.60757129968084,265.7299433387411,266.3594330311636,399174
2019-02-22,269.55181884765625,269.8665637411022,267.12381817604273,267.9331700286461,454451
2019-02-25,272.38433837890625,273.64328991047586,271.0354558572777,271.57501435454617,546542
2019-02-26,273.59844970703125,274.2728912428744,269.91149715580286,270.81075253692705,519944
